County,Registration Valid Date,Vehicle Name
Ingham,11/20/17,Chevrolet Volt
Oakland,11/20/17,Ford C-Max Energi
Oakland,11/20/17,Chevrolet Volt
Wayne,11/20/17,Chrysler Pacifica
Ingham,11/20/17,Chrysler Pacifica
Clinton,11/20/17,Chevrolet Volt
Wayne,11/20/17,Ford C-Max Energi
Oakland,11/21/17,Chrysler Pacifica
Oakland,11/21/17,Chevrolet Volt
Kalamazoo,11/21/17,Toyota Prius Plug-in
Oakland,11/21/17,Chevrolet Volt
Allegan,11/21/17,Ford C-Max Energi
Wayne,11/21/17,Chevrolet Volt
Eaton,11/21/17,Chevrolet Volt
Oakland,11/21/17,Chevrolet Volt
Washtenaw,11/21/17,Ford C-Max Energi
Oakland,11/21/17,Chevrolet Volt
Berrien,11/21/17,BMW 5-Series Plug in
Kent,11/21/17,Chevrolet Volt
Oakland,11/21/17,Chevrolet Volt
Ottawa,11/22/17,Chevrolet Volt
Ingham,11/22/17,Chevrolet Volt
Monroe,11/22/17,Chevrolet Volt
Oakland,11/22/17,Chevrolet Volt
Genesee,11/22/17,Cadillac ELR
Muskegon,11/22/17,Ford C-Max Energi
Oakland,11/21/17,Ford C-Max Energi
Washtenaw,11/21/17,Nissan Leaf
Washtenaw,11/21/17,BMW i3 REx
Oakland,11/22/17,Chevrolet Volt
Wayne,11/22/17,Chevrolet Volt
Wayne,11/21/17,Nissan Leaf
Genesee,11/21/17,GEM NEV
Wayne,11/21/17,Chevrolet Volt
Oakland,11/21/17,Ford Fusion Energi
Kent,11/21/17,Toyota Prius Prime
Oakland,11/21/17,Chevrolet Volt
Clinton,11/21/17,Ford Fusion Energi
Grand Traverse,11/21/17,Chevrolet Volt
Wayne,11/21/17,Toyota Prius Plug-in
Van Buren,11/21/17,Tesla Model X
Delta,11/21/17,Chevrolet Volt
Otsego,11/21/17,GEM NEV
Macomb,11/21/17,Ford C-Max Energi
Clinton,11/21/17,Ford Fusion Energi
Washtenaw,11/21/17,Chevrolet Volt
Macomb,11/21/17,Chevrolet Volt
Oakland,11/21/17,Chevrolet Bolt EV
Lenawee,11/21/17,Ford C-Max Energi
Washtenaw,11/21/17,Nissan Leaf
Ingham,11/21/17,Tesla Model S
Montcalm,11/21/17,Chrysler Pacifica
Kent,11/21/17,Chevrolet Volt
Livingston,11/21/17,Chevrolet Volt
Kent,11/21/17,Ford C-Max Energi
Wayne,11/21/17,Chevrolet Volt
Oakland,11/19/17,Ford Fusion Energi
Oakland,11/16/17,Ford C-Max Energi
Livingston,11/16/17,Chevrolet Volt
Washtenaw,11/16/17,Chevrolet Volt
Oakland,11/16/17,Chevrolet Volt
Wayne,11/16/17,Ford C-Max Energi
Oakland,11/16/17,Tesla Model S
Macomb,11/16/17,Chevrolet Bolt EV
Wayne,11/16/17,Ford C-Max Energi
Oakland,11/16/17,Chevrolet Volt
Oakland,11/16/17,Chrysler Pacifica
Allegan,11/16/17,Chevrolet Volt
