"statecode_of_county","county","income_yr_2021","income_yr_2020","income_yr_2019","vehicle_cnt","station_cnt"
"MI","Shiawassee",3225843,3046259,2770941,245,8
"MI","St. Clair",8451582,8075798,7328543,263,8
"MI","St. Joseph",2806988,2641428,2355597,89,1
"MI","Van Buren",3689815,3459023,3162185,224,6
"MI","Washtenaw",25372530,24022427,22920571,4326,97
"MI","Wayne",89823224,85095541,77687754,5657,158
"MI","Wexford",1515262,1412278,1273021,47,7
"NJ","Atlantic",16033351,15155351,13757969,5141,29
"NJ","Bergen",92848060,86654329,83968368,49727,144
"NJ","Burlington",32265066,30322964,28594559,13554,30
"NJ","Camden",32286039,30075581,28078352,15288,38
"NJ","Cape May",6888548,6496246,6048337,2547,14
"NJ","Cumberland",7306345,6745296,6217937,1495,1
"NJ","Essex",63528603,58783567,54920477,25395,90
"NJ","Gloucester",19045893,17826365,16741310,5785,16
"NJ","Hudson",50609752,47340530,46593911,12987,89
"NJ","Hunterdon",13029821,12017997,11692315,6503,18
"NJ","Mercer",30065659,27842874,26529544,19468,55
"NJ","Middlesex",60446686,55955439,52875245,33207,80
"NJ","Monmouth",59449633,55330855,53031401,25564,68
"NJ","Morris",55067035,51214074,49693049,24022,64
"NJ","Ocean",39474190,36305207,33590289,12198,22
"NJ","Passaic",30858408,28516392,26364032,8704,26
"NJ","Salem",3743184,3433388,3154977,881,13
"NJ","Somerset",39395044,36764029,37178946,21387,45
"NJ","Sussex",10342089,9571529,9147619,3896,14
"NJ","Union",44056643,40752801,39375495,15045,54
"NJ","Warren",6980545,6439256,6096895,2185,4
"NY","Albany",22259278,21098892,19667212,28262,367
"NY","Allegany",1962676,1880783,1717992,1084,7
"NY","Bronx",66735687,62197095,54854029,9632,25
"NY","Broome",9991656,9456376,8696718,9142,42
"NY","Cattaraugus",3574854,3432258,3144033,1100,11
"NY","Cayuga",3902561,3702307,3420422,2074,10
"NY","Chautauqua",6041366,5733851,5278491,3907,30
"NY","Chemung",4348209,4119306,3841977,3099,12
"NY","Chenango",2353263,2221052,2041919,1186,3
"NY","Clinton",4029558,3858841,3600161,3786,33
"NY","Columbia",4041890,3812990,3562794,4517,34
"NY","Cortland",2251520,2145565,1957456,2133,10
"NY","Delaware",2158718,2039479,1908380,1533,8
"NY","Dutchess",19982443,18730274,17662345,21375,74
