"income_yr_2019","income_yr_2020","income_yr_2021","stations_count"
9495118,10201740,11382003,8
4453718,4678620,5034666,3
663799,734320,798067,3
1539809,1658012,1763468,1
2624183,2839250,3107218,4
1319668,1424758,1543335,2
26772483,28339630,30605428,31
4088995,4381141,4751492,7
1772518,1898001,2058434,1
8788185,9603440,10726065,6
1907546,2074805,2258174,1
3495598,3701513,3935876,1
1548907,1664729,1820107,4
3069498,3285059,3499730,2
12445570,13406114,14300207,25
1446422,1560357,1681377,2
8046609,8613778,9333423,4
1637435,1787129,1924552,2
3906407,4153993,4455917,6
22572611,24193442,26513928,20
4729971,5086230,5564165,9
1947001,2117829,2305780,1
5070492,5486737,5983943,1
54133941,59200437,63729003,57
1961178,2118254,2374037,5
1256715,1332208,1449714,1
6470868,6832709,7328351,10
1552883,1692450,1859984,3
3211333,3422238,3721455,1
570786,632362,716704,3
1953559,2096513,2269726,4
749362,803804,861056,2
873988,948464,1044015,1
721711,752395,818195,1
9403984,9871281,10672325,15
1301391,1391289,1484476,1
1449544,1553906,1689246,1
765126,824046,903781,3
13052173,13794162,15277028,20
1998016,2153520,2344951,5
927375,969497,1041681,3
1575751,1680225,1809300,6
7685858,8053844,8596056,24
8610074,9289895,9917126,9
4169140,4506449,4850978,3
1333631,1445638,1580846,5
3747756,3917938,4185683,2
2787830,2999810,3242051,1
1202265,1286693,1408515,1
1069293,1173102,1267607,2
1601222,1721954,1858150,1
663473,696855,749313,1
490877,528773,568674,3
5995248,6415743,6767471,10
1262466,1350144,1451585,2
1094948,1135518,1247526,1
1006800,1052979,1163455,1
2164703,2297696,2432308,4
889138,947214,1014041,6
2106340,2247574,2430373,2
6565152,7068291,7647014,12
277577,295397,322985,1
866635,917204,999777,2
1976795,2067898,2171857,7
4984576,5326982,5605450,9
423773,427044,483665,1
868346,913198,986504,1
742768,775439,863806,4
484698,508636,591810,1
427036,456448,512554,3
557056,608772,666761,1
869733,919215,1001339,4
883812,946385,1035247,3
894499,959123,1041558,1
1632369,1751798,1895384,3
754846,797902,874661,3
8313123,8721525,9221792,36
752962,779755,880381,2
1427837,1518633,1607411,4
12213591,12980708,13574612,23
681181,674451,739288,1
826474,890404,960473,3
963402,1014999,1097725,1
359912,403507,457871,1
1682681,1779512,1902285,2
1728579,1885135,2023558,2
668849,621374,671346,1
347301,373937,401967,1
2076229,2169721,2299237,4
647472,716961,791296,1
461757,441027,507403,1
1418627,1457673,1621451,2
26526925,28554697,30207862,70
4228614,4484826,4793069,5
847895,921739,1003569,1
563576,552639,639926,1
9479493,10008708,10510926,17
605668,636519,722839,2
1871984,1962623,2065918,3
4273382,4498643,4766976,9
291217,304819,345167,1
2702078,2870016,3089136,3
1368866,1342256,1468630,1
1687913,1763980,1906807,3
444992,477829,540998,1
1009743,1092808,1171077,3
4640954,4971364,5344455,6
311980,341225,393932,3
618973,628469,722896,1
532281,572126,614801,2
1261926,1302390,1349864,1
604742,654343,685864,1
432973,461991,490773,1
3213534,3350010,3505999,4
834870,926122,985046,1
121001,147401,171551,1
348744,388451,408628,1
354555,395987,421356,1
428795,474050,490834,1
1371537,1470418,1548449,1
1520192,1661083,1761765,4
786657,857229,909192,1
5545320,5856305,6171456,15
1357638,1460745,1535886,4
1588194,1708021,1810941,1
1331941,1500433,1607243,1
1515167,1614965,1678741,1
47723112,49465618,51838335,339
101680,127289,136548,1
3627060,3826730,4054103,6
1291830,1417450,1477563,4
1593802,1687371,1746988,3
502622,550590,573950,1
1712364,1829696,1962069,2
1191850,1280777,1361182,1
520376,592326,621722,2
1341304,1448222,1529968,1
2592027,2786864,2942860,5
3124396,3319582,3448959,5
2788351,2882282,3031658,5
27733365,28897378,30231865,28
824595,913423,961418,1
8509855,9110442,9638102,19
249506,287094,311167,2
372296,400543,406284,2
5705812,6150666,6538662,5
1654336,1788515,1945584,1
6763932,7290042,7799341,11
1889191,2059819,2205219,1
1207234,1327089,1419938,3
3566321,3854145,4159915,6
452203,507498,567615,1
1431972,1561517,1656988,2
4802546,5130460,5462154,4
853448,960250,1038607,1
2773703,3039381,3302625,4
1492627,1628398,1748106,1
17027041,18210080,19303259,18
2216790,2411092,2583323,5
946603,1048678,1136956,1
1448776,1556593,1755052,1
930827,1045234,1115158,1
4939398,5335893,5750592,8
