"statecode_of_county","county","per_capita_income_2021","ev_count"
"TX","Refugio",54475,75
"TX","Robertson",52894,132
"TX","Rockwall",70833,6277
"TX","Runnels",51307,108
"TX","Rusk",44874,463
"TX","Sabine",44900,28
"TX","San Augustine",50573,74
"TX","San Jacinto",46477,601
"TX","San Patricio",51392,1164
"TX","San Saba",43735,36
"TX","Schleicher",51775,56
"TX","Scurry",47138,104
"TX","Shackelford",93075,37
"TX","Shelby",54640,46
"TX","Sherman",122945,57
"TX","Smith",60284,5138
"TX","Somervell",54826,268
"TX","Starr",34933,357
"TX","Stephens",48498,16
"TX","Sterling",65866,30
"TX","Sutton",68431,20
"TX","Swisher",72623,97
"TX","Tarrant",58940,83872
"TX","Taylor",58316,2695
"TX","Terry",45353,57
"TX","Titus",48007,355
"TX","Tom Green",59877,2284
"TX","Travis",81708,130334
"TX","Trinity",47101,154
"TX","Tyler",41613,147
"TX","Upshur",43308,326
"TX","Upton",61595,20
"TX","Uvalde",53257,214
"TX","Val Verde",46642,733
"TX","Van Zandt",45045,1358
"TX","Victoria",58479,1176
"TX","Walker",33345,779
"TX","Waller",49404,1058
"TX","Ward",55099,76
"TX","Washington",61295,879
"TX","Webb",40850,2813
"TX","Wharton",52948,510
"TX","Wheeler",49906,87
"TX","Wichita",50210,1919
"TX","Wilbarger",59952,62
"TX","Willacy",37792,101
"TX","Williamson",62931,37390
"TX","Wilson",55762,942
"TX","Winkler",66180,47
"TX","Wise",53871,1531
"TX","Wood",47546,847
"TX","Young",58602,257
"TX","Zapata",33288,65
"TX","Zavala",43868,24
