"statecode_of_county","county","income_yr_2021","income_yr_2020","income_yr_2019","ev_count"
"NJ","Atlantic",16033351,15155351,13757969,5141
"NJ","Bergen",92848060,86654329,83968368,49727
"NJ","Burlington",32265066,30322964,28594559,13554
"NJ","Camden",32286039,30075581,28078352,15288
"NJ","Cape May",6888548,6496246,6048337,2547
"NJ","Cumberland",7306345,6745296,6217937,1495
"NJ","Essex",63528603,58783567,54920477,25395
"NJ","Gloucester",19045893,17826365,16741310,5785
"NJ","Hudson",50609752,47340530,46593911,12987
"NJ","Hunterdon",13029821,12017997,11692315,6503
"NJ","Mercer",30065659,27842874,26529544,19468
"NJ","Middlesex",60446686,55955439,52875245,33207
"NJ","Monmouth",59449633,55330855,53031401,25564
"NJ","Morris",55067035,51214074,49693049,24022
"NJ","Ocean",39474190,36305207,33590289,12198
"NJ","Passaic",30858408,28516392,26364032,8704
"NJ","Salem",3743184,3433388,3154977,881
"NJ","Somerset",39395044,36764029,37178946,21387
"NJ","Sussex",10342089,9571529,9147619,3896
"NJ","Union",44056643,40752801,39375495,15045
"NJ","Warren",6980545,6439256,6096895,2185
"NY","Albany",22259278,21098892,19667212,28262
"NY","Allegany",1962676,1880783,1717992,1084
"NY","Bronx",66735687,62197095,54854029,9632
"NY","Broome",9991656,9456376,8696718,9142
"NY","Cattaraugus",3574854,3432258,3144033,1100
"NY","Cayuga",3902561,3702307,3420422,2074
"NY","Chautauqua",6041366,5733851,5278491,3907
"NY","Chemung",4348209,4119306,3841977,3099
"NY","Chenango",2353263,2221052,2041919,1186
"NY","Clinton",4029558,3858841,3600161,3786
"NY","Columbia",4041890,3812990,3562794,4517
"NY","Cortland",2251520,2145565,1957456,2133
"NY","Delaware",2158718,2039479,1908380,1533
"NY","Dutchess",19982443,18730274,17662345,21375
"NY","Erie",54783277,52647259,48328762,44550
"NY","Essex",2016518,1904891,1774055,2320
"NY","Franklin",2309122,2138921,1980866,1376
"NY","Fulton",2738572,2582903,2372956,1696
"NY","Genesee",2930933,2816828,2604935,1784
"NY","Greene",2706507,2540254,2339552,2572
"NY","Hamilton",279273,267532,250573,476
"NY","Herkimer",3113483,2892832,2668872,1071
"NY","Jefferson",6178742,5849400,5398665,3368
"NY","Kings",163351099,153686122,141246604,40926
"NY","Lewis",1451659,1358230,1252306,430
"NY","Livingston",3214923,3057153,2916232,2063
"NY","Madison",3705379,3512077,3296318,3738
"NY","Monroe",45344632,43428947,40280470,58852
"NY","Montgomery",2419489,2274810,2086900,1714
"NY","Nassau",138530627,130637040,125221986,131775
"NY","New York",308346366,295922430,295495946,64006
"NY","Niagara",11246678,10828511,9892726,8944
"NY","Onondaga",28863443,27473774,25224238,24218
"NY","Ontario",6981181,6655940,6201794,7539
"NY","Orange",23819666,22212389,20709035,17884
"NY","Orleans",1861735,1773516,1610864,1260
"NY","Oswego",5701985,5381080,4917700,3190
"NY","Otsego",3105545,2924027,2731751,2474
"NY","Putnam",7712854,7239227,6880210,7398
"NY","Queens",136713216,128983941,117339645,70302
"NY","Rensselaer",9313581,8793355,8089734,9183
"NY","Richmond",32133087,29919962,27942107,18853
"NY","Rockland",23465401,21928649,20549956,21547
"NY","St. Lawrence",4929884,4637938,4266031,3040
"NY","Saratoga",17956502,16887509,15835321,19428
"NY","Schenectady",9878025,9224559,8515608,11484
"NY","Schoharie",1553692,1459947,1349286,1312
"NY","Schuyler",884236,835153,768151,841
"NY","Seneca",1592411,1507189,1378598,999
"NY","Steuben",5041314,4766190,4473600,3588
"NY","Suffolk",124106210,116878615,110217697,182362
"NY","Sullivan",4299492,4024533,3702783,2799
"NY","Tioga",2587015,2456577,2273403,1725
"NY","Tompkins",5402874,5116408,4794901,14026
"NY","Ulster",11078945,10366436,9705800,16795
"NY","Warren",4094067,3890195,3544444,4358
"NY","Washington",2999132,2821689,2597515,2996
"NY","Wayne",4864327,4685272,4359656,4552
"NY","Westchester",119452645,112460093,108091411,108544
"NY","Wyoming",1986581,1855490,1709223,679
"NY","Yates",1204405,1146475,1058402,923
"TX","Anderson",2478790,2251483,2114625,589
"TX","Andrews",976265,918117,990376,306
"TX","Angelina",3994017,3686181,3490130,1089
"TX","Aransas",1467599,1349661,1294294,597
"TX","Archer",521734,493474,468576,671
"TX","Atascosa",2333988,2122511,1979947,810
"TX","Austin",1770681,1660546,1628059,591
"TX","Bailey",353429,340582,310561,38
"TX","Bandera",1265999,1169623,1107004,778
"TX","Bastrop",4513977,3914961,3559572,4219
"TX","Baylor",204374,190315,168600,37
"TX","Bell",18755136,17281904,16002569,10649
